,item,condition,targetPosition,Sentence,Unnamed: 4,Option1,Option0,Ans,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2,token,word,word_pos
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,5.106276512145996,7.366799801480822,5.106276512145996,7.366799801480822,The,The,0
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,11.5767822265625,16.70176630771321,11.5767822265625,16.70176630771321,bus,bus,1
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,3.835367441177368,5.533265587373582,3.835367441177368,5.533265587373582,driver,driver,2
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,3.246784210205078,4.684119478899456,3.246784210205078,4.684119478899456,who,who,3
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,5.626870155334473,8.117857668827154,5.626870155334473,8.117857668827154,followed,followed,4
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,1.3815048933029175,1.9930902585319556,1.3815048933029175,1.9930902585319556,the,the,5
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,8.943353652954102,12.902531964033079,8.943353652954102,12.902531964033079,kids,kids,6
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,12.321422576904297,17.776055248397142,12.321422576904297,17.776055248397142,wondered,wondered,7
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,2.652273654937744,3.826422049059129,2.652273654937744,3.826422049059129,about,about,8
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,0.9019511938095093,1.3012405144328594,0.9019511938095093,1.3012405144328594,the,the,9
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,4.285135746002197,6.182144090293399,4.285135746002197,6.182144090293399,location,location,10
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,0.39361828565597534,0.5678711487190911,0.39361828565597534,0.5678711487190911,of,of,11
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,3.198455810546875,4.614396336378467,3.198455810546875,4.614396336378467,a,a,12
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,7.325421690940857,10.56834954594082,3.6627108454704285,5.28417477297041,hotel..,hotel.,13
1,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,1,RC-Gap,,,,1.0,,,5.106276512145996,7.366799801480822,5.106276512145996,7.366799801480822,The,The,0
1,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,1,RC-Gap,,,,1.0,,,11.5767822265625,16.70176630771321,11.5767822265625,16.70176630771321,bus,bus,1
1,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,1,RC-Gap,,,,1.0,,,3.835367441177368,5.533265587373582,3.835367441177368,5.533265587373582,driver,driver,2
