,item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,Sentence,disambPosition_0idx,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2,token,word,word_pos
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,5.106276512145996,7.366799801480822,5.106276512145996,7.366799801480822,The,The,0
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,13.29647445678711,19.182757760113535,13.29647445678711,19.182757760113535,suspect,suspect,1
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,7.721066474914551,11.139144313733253,7.721066474914551,11.139144313733253,showed,showed,2
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,2.2806077003479004,3.290221419505099,2.2806077003479004,3.290221419505099,the,the,3
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,10.054451942443848,14.505507956220145,10.054451942443848,14.505507956220145,file,file,4
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,12.687423706054688,18.30408326238217,12.687423706054688,18.30408326238217,deserved,deserved,5
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,7.544216156005859,10.884003235664052,7.544216156005859,10.884003235664052,further,further,6
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,7.1601057052612305,10.329848993221152,7.1601057052612305,10.329848993221152,investigation,investigation,7
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,6.659152030944824,9.607125611569767,6.659152030944824,9.607125611569767,during,during,8
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,0.5636448264122009,0.8131675958876029,0.5636448264122009,0.8131675958876029,the,the,9
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,6.084590911865234,8.77820913438603,6.084590911865234,8.77820913438603,murder,murder,10
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,4.862589597702026,7.015233898482973,2.431294798851013,3.5076169492414864,trial..,trial.,11
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,10.689477920532227,15.421656785643913,10.689477920532227,15.421656785643913,Because,Because,0
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,2.030848741531372,2.9298954082029027,2.030848741531372,2.9298954082029027,the,the,1
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,10.583466529846191,15.268714678023427,10.583466529846191,15.268714678023427,suspect,suspect,2
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,9.369123458862305,13.516787951577099,9.369123458862305,13.516787951577099,changed,changed,3
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,1.2666391134262085,1.8273739675359844,1.2666391134262085,1.8273739675359844,the,the,4
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,8.141347885131836,11.74548222003155,8.141347885131836,11.74548222003155,file,file,5
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,17.890214920043945,25.810124345585145,17.890214920043945,25.810124345585145,deserved,deserved,6
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,6.096501350402832,8.795392264999034,6.096501350402832,8.795392264999034,further,further,7
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,4.428862571716309,6.38949806899386,4.428862571716309,6.38949806899386,investigation,investigation,8
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,6.085011005401611,8.77881520124767,6.085011005401611,8.77881520124767,during,during,9
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,0.537878692150116,0.7759949217648138,0.537878692150116,0.7759949217648138,the,the,10
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,8.548543930053711,12.33294193470994,8.548543930053711,12.33294193470994,jury,jury,11
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,10.645936489105225,15.35883977845097,5.322968244552612,7.679419889225485,discussions..,discussions.,12
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,5.106276512145996,7.366799801480822,5.106276512145996,7.366799801480822,The,The,0
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,13.29647445678711,19.182757760113535,13.29647445678711,19.182757760113535,suspect,suspect,1
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,8.401985168457031,12.121502336155581,8.401985168457031,12.121502336155581,sent,sent,2
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,2.362830877304077,3.408844389145911,2.362830877304077,3.408844389145911,the,the,3
