,item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,Sentence,disambPosition_0idx,token,word,word_pos,logfreq,logfreq_s,length,length_s
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
1,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,suspect,suspect,1,8.249313746260636,-0.8583851357939485,7,0.6606739791349112
2,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,showed,showed,2,9.399389249519563,-0.5097984595066846,6,0.2866949754802561
3,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,the,the,3,15.687451186819413,1.396106504820095,3,-0.8352420354837095
4,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,file,file,4,8.696008608880904,-0.7229923924182657,4,-0.4612630318290542
5,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,deserved,deserved,5,6.742880635791903,-1.314983428288102,8,1.0346529827895663
6,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,further,further,6,9.655026193237628,-0.432315170544871,7,0.6606739791349112
7,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,investigation,investigation,7,8.687442166975924,-0.7255888719561772,13,2.9045480010628424
8,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,during,during,8,11.113029818576932,0.0096041959068329,6,0.2866949754802561
9,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,the,the,9,15.687451186819413,1.396106504820095,3,-0.8352420354837095
10,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,murder,murder,10,8.457230850243555,-0.7953656801014282,6,0.2866949754802561
11,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,trial..,trial.,11,8.897819009510757,-0.661823872093802,6,0.2866949754802561
12,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,Because,Because,0,11.768133414760475,0.2081654073841307,7,0.6606739791349112
13,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,the,the,1,15.687451186819413,1.396106504820095,3,-0.8352420354837095
14,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,suspect,suspect,2,8.249313746260636,-0.8583851357939485,7,0.6606739791349112
15,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,changed,changed,3,9.47616019757083,-0.486529265840025,7,0.6606739791349112
16,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
17,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,file,file,5,8.696008608880904,-0.7229923924182657,4,-0.4612630318290542
18,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,deserved,deserved,6,6.742880635791903,-1.314983428288102,8,1.0346529827895663
19,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,further,further,7,9.655026193237628,-0.432315170544871,7,0.6606739791349112
20,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,investigation,investigation,8,8.687442166975924,-0.7255888719561772,13,2.9045480010628424
21,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,during,during,9,11.113029818576932,0.0096041959068329,6,0.2866949754802561
22,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,the,the,10,15.687451186819413,1.396106504820095,3,-0.8352420354837095
23,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,jury,jury,11,7.860956364876389,-0.9760958499207596,4,-0.4612630318290542
24,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,discussions..,discussions.,12,7.5126175446745105,-1.0816769802134392,12,2.530568997408188
25,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
26,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,suspect,suspect,1,8.249313746260636,-0.8583851357939485,7,0.6606739791349112
27,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,sent,sent,2,9.479221814964246,-0.4856012928258965,4,-0.4612630318290542
28,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,the,the,3,15.687451186819413,1.396106504820095,3,-0.8352420354837095
29,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,file,file,4,8.696008608880904,-0.7229923924182657,4,-0.4612630318290542
30,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,deserved,deserved,5,6.742880635791903,-1.314983428288102,8,1.0346529827895663
31,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,further,further,6,9.655026193237628,-0.432315170544871,7,0.6606739791349112
32,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,investigation,investigation,7,8.687442166975924,-0.7255888719561772,13,2.9045480010628424
33,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,given,given,8,10.196791293755965,-0.2681067379828536,5,-0.087284028174399
34,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,the,the,9,15.687451186819413,1.396106504820095,3,-0.8352420354837095
35,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,new,new,10,12.356172273774211,0.3863993675115319,3,-0.8352420354837095
36,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,evidence..,evidence.,11,9.72972922640266,-0.4096727597068121,9,1.4086319864442216
37,2,NPS_AMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
38,2,NPS_AMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,corrupt,corrupt,1,7.010311867307229,-1.233925303090952,7,0.6606739791349112
39,2,NPS_AMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,politician,politician,2,7.333676395657684,-1.135913854409999,10,1.7826109900988767
40,2,NPS_AMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,mentioned,mentioned,3,8.294049640102028,-0.8448257333888703,9,1.4086319864442216
41,2,NPS_AMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
42,2,NPS_AMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,bill,bill,5,9.96189796008255,-0.3393026605420488,4,-0.4612630318290542
43,2,NPS_AMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,received,received,6,9.444700778495555,-0.4960645826973116,8,1.0346529827895663
44,2,NPS_AMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,unwelcome,unwelcome,7,5.899897353582492,-1.570490775134833,9,1.4086319864442216
45,2,NPS_AMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,attention,attention,8,9.759905824058103,-0.4005262646736069,9,1.4086319864442216
